Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status
3-d-embroidery-crewneck,3-D Embroidery Crewneck,"3-D embroidered crewneck sweatshirt. God. Health. Wealth. — Built for believers, designed for champions.",Tagline,Crewneck,"crewneck, mens, embroidery, sweatshirt, new",TRUE,Color,Chinese Red,Size,XS,40.00,1,deny,manual,TRUE,TRUE,active
3-d-embroidery-crewneck,,,,,,,,Chinese Red,,S,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Chinese Red,,M,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Chinese Red,,XL,40.00,2,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Chinese Red,,XXL,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Chinese Red,,XXXL,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Navy Blue,,S,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Navy Blue,,L,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Nio Grey,,S,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Nio Grey,,M,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Nio Grey,,L,40.00,1,deny,manual,TRUE,TRUE,
3-d-embroidery-crewneck,,,,,,,,Nio Grey,,XL,40.00,1,deny,manual,TRUE,TRUE,
